latitude,longitude,year,uid
31.026091,47.283637,2021,1
31.00335,48.139754,2021,2
28.494112,49.714382,2021,3
30.525983,47.611181,2021,4
28.909453,19.77335,2021,5
27.719936,52.17693,2021,6
35.684931,43.876676,2021,7
30.751665,48.280295,2021,8
25.532421,53.148819,2021,9
30.567848,47.315211,2021,10
31.662874,6.05634,2021,11
30.882448,47.332778,2021,12
31.769106,46.064469,2021,13
32.117644,47.410461,2021,14
30.610071,47.326985,2021,15
30.52979,47.599045,2021,16
27.714337,52.187683,2021,17
27.498746,52.648564,2021,18
27.68405,52.249464,2021,19
32.990538,46.183671,2021,20
30.348604,50.290181,2021,21
27.503989,52.63879,2021,22
31.434372,47.836562,2021,23
34.756628,45.151855,2021,24
35.628884,44.009268,2021,25
23.153534,55.448205,2021,26
30.495006,47.316486,2021,27
31.08186,47.626902,2021,28
27.512689,52.620683,2021,29
31.67552,47.436292,2021,30
31.65626,47.51515,2021,31
30.686863,47.329757,2021,32
32.490563,47.210249,2021,33
31.212031,48.954025,2021,34
33.695976,46.228298,2021,35
30.357529,47.338265,2021,36
31.135026,49.319877,2021,37
28.73595,9.789314,2021,38
30.351911,46.838027,2021,39
30.476574,47.602015,2021,40
30.419382,47.608191,2021,41
31.271879,48.116664,2021,42
35.724665,44.040179,2021,43
25.506747,53.149857,2021,44
29.072576,19.062036,2021,45
27.987002,22.32379,2021,46
35.981261,43.769569,2021,47
27.561245,52.563522,2021,48
30.401769,47.335112,2021,49
31.088806,47.789813,2021,50
30.166244,47.414674,2021,51
30.390415,49.860591,2021,52
30.562994,47.3311,2021,53
35.662253,43.965585,2021,54
27.688116,52.235388,2021,55
27.644337,22.501738,2021,56
30.826249,47.329486,2021,57
32.10707,47.550597,2021,58
30.900119,49.676102,2021,59
26.756163,12.412285,2021,60
32.352682,47.706697,2021,61
30.929044,48.021206,2021,62
30.763974,47.327463,2021,63
36.77606,43.324769,2021,64
30.991311,48.022278,2021,65
31.590504,5.958267,2021,66
31.300557,49.11991,2021,67
29.942904,49.686605,2021,68
32.059894,47.44643,2021,69
29.230655,19.696808,2021,70
28.90495,20.954621,2021,71
35.998176,43.761945,2021,72
26.578791,12.210861,2021,73
35.531088,44.339821,2021,74
32.160771,49.065823,2021,75
30.279439,47.361526,2021,76
30.72037,49.824068,2021,77
32.129521,47.409296,2021,78
28.684193,7.194338,2021,79
30.752256,47.665033,2021,80
31.685301,6.188873,2021,81
28.116186,0.305561,2021,82
32.512744,6.70945,2021,83
32.256359,47.251311,2021,84
15.342377,46.823361,2021,85
25.164348,52.8771,2021,86
25.902121,54.533862,2021,87
29.215381,50.313686,2021,88
30.276454,47.718808,2021,89
30.534364,26.082071,2021,90
31.367054,30.33027,2021,91
31.04159,49.392232,2021,92
27.647657,22.48182,2021,93
30.402439,19.610952,2021,94
30.300542,50.732435,2021,95
30.274269,47.741785,2021,96
32.946897,3.228448,2021,97
30.212874,47.392023,2021,98
31.013377,8.165295,2021,99
29.242782,50.303493,2021,100
30.325556,47.724599,2021,101
27.544011,52.583996,2021,102
35.80897,-0.254675,2021,103
35.808736,-0.237298,2021,104
30.558594,47.346932,2021,105
31.240243,48.987434,2021,106
24.467382,56.619314,2021,107
29.256396,53.121863,2021,108
32.504218,47.206883,2021,109
27.984674,19.905212,2021,110
28.369045,49.628148,2021,111
29.054857,20.783426,2021,112
32.982187,46.170191,2021,113
26.700708,12.452506,2021,114
27.517721,52.597117,2021,115
30.484238,50.484591,2021,116
32.178184,47.52054,2021,117
31.0626,47.617506,2021,118
28.694997,22.375098,2021,119
30.31447,47.348695,2021,120
33.488527,44.343827,2021,121
27.580775,52.541364,2021,122
30.154906,50.422307000000004,2021,123
29.6975,6.708458,2021,124
25.594349,52.541891,2021,125
31.321108,49.281977,2021,126
29.292805,49.548846,2021,127
29.037826,20.785982,2021,128
30.283272,50.714678,2021,129
30.876754,48.02329,2021,130
31.699428,5.809323,2021,131
33.157524,44.786475,2021,132
31.357384,45.964466,2021,133
27.924528,9.250638,2021,134
28.618395,7.70821,2021,135
30.922405,48.858974,2021,136
32.368843,47.406133,2021,137
36.891747,43.429925,2021,138
32.095167000000004,47.426988,2021,139
28.079481,9.787889,2021,140
33.859866,12.057906,2021,141
30.407523,6.542985,2021,142
30.39625,50.612075,2021,143
28.911392,20.967662,2021,144
30.038186,50.636935,2021,145
25.638518,49.392617,2021,146
27.582508,22.403297,2021,147
36.877223,6.947203,2021,148
28.870306,21.22165,2021,149
33.721941,46.299374,2021,150
30.563935,47.103432,2021,151
30.572705,49.918356,2021,152
35.968706,43.766552,2021,153
30.987998,49.593756,2021,154
27.763712,9.193277,2021,155
21.303368,57.7988,2021,156
31.632133,5.982572,2021,157
34.894793,43.806284,2021,158
35.487026,44.154841,2021,159
31.848492,6.048449,2021,160
28.637526,7.615056,2021,161
36.0184,43.682889,2021,162
31.787163,6.06555,2021,163
30.253221,8.084742,2021,164
25.495964,53.149952999999996,2021,165
30.56242,50.01481,2021,166
31.055144,8.034511,2021,167
28.559002,7.51655,2021,168
33.252181,47.736644,2021,169
31.73174,47.432517,2021,170
31.798258,6.05965,2021,171
28.916578,9.746954,2021,172
37.078558,42.559264,2021,173
30.35374,47.659337,2021,174
27.812101,22.432824,2021,175
33.920755,12.6786,2021,176
31.763311,49.156261,2021,177
31.690262,5.809683,2021,178
27.553113,52.573522,2021,179
24.912825,51.55085,2021,180
33.324221,44.571574,2021,181
30.266082,47.716583,2021,182
26.031912,11.977683,2021,183
29.761651,50.369895,2021,184
36.140391,40.814826,2021,185
30.973124,5.758686,2021,186
27.483478,52.969756,2021,187
36.907017,43.390514,2021,188
27.168452,56.053531,2021,189
33.126318,3.318748,2021,190
32.745153,3.182959,2021,191
29.688235,6.699069,2021,192
35.111287,40.522183,2021,193
36.083322,43.640746,2021,194
15.377279,46.822636,2021,195
32.488802,45.662292,2021,196
29.270623,49.569698,2021,197
32.148871,47.584279,2021,198
18.320389,55.103956,2021,199
31.514732,49.463152,2021,200
25.427261,52.735667,2021,201
22.403949,56.989453,2021,202
28.560105,7.463031,2021,203
30.769329,27.105035,2021,204
32.933262,3.235763,2021,205
25.904615,51.550675,2021,206
35.001845,43.491501,2021,207
31.704418,5.96341,2021,208
28.576493,7.655135,2021,209
30.407091,19.597994,2021,210
36.868962,43.488953,2021,211
31.248672,49.16783,2021,212
28.633703,9.786151,2021,213
35.407798,44.223532,2021,214
28.833873,22.123944,2021,215
31.027565,47.705641,2021,216
21.663183,56.412546,2021,217
32.401905,4.005886,2021,218
15.694955,47.956945,2021,219
30.712392,50.118249,2021,220
30.707925,49.538723,2021,221
30.367648,47.637873,2021,222
27.530436,52.599011,2021,223
34.910184,40.826829,2021,224
22.15766,56.026548,2021,225
15.579137,45.802423,2021,226
31.395511,6.935818,2021,227
27.749455,9.152539,2021,228
35.38516,44.21784,2021,229
31.231513,8.562813,2021,230
31.284313,47.715431,2021,231
35.416361,44.192402,2021,232
30.662687,8.102735,2021,233
23.190778,55.460275,2021,234
35.81339,-0.269759,2021,235
30.978671,49.514577,2021,236
35.302606,40.445553,2021,237
36.868677,6.982516,2021,238
31.208696,49.218465,2021,239
30.567947,47.767637,2021,240
26.432869,11.850163,2021,241
26.950355,49.595771,2021,242
20.999787,57.610445,2021,243
15.819103,45.834293,2021,244
18.03374,54.641848,2021,245
30.760631,5.453332,2021,246
28.466167,9.0566,2021,247
33.892018,12.605308,2021,248
26.851408,55.851788,2021,249
34.660136,45.591672,2021,250
31.407166,48.647859,2021,251
30.039458,47.495599,2021,252
30.254129,50.742768,2021,253
28.703502,8.939237,2021,254
36.529242000000004,43.97707,2021,255
28.448815,9.135376,2021,256
26.795063,53.343437,2021,257
28.784812,22.459755,2021,258
29.215438,21.644782,2021,259
31.353587,47.856777,2021,260
28.709829,9.03584,2021,261
30.199281,47.389229,2021,262
35.952477,43.729992,2021,263
36.86703,43.519398,2021,264
28.711104,21.382176,2021,265
30.241741,50.757003,2021,266
31.305934,48.771292,2021,267
25.351461,54.485845,2021,268
25.702245,54.301737,2021,269
30.394718,50.626141,2021,270
29.850949,27.947524,2021,271
28.208772,19.913904,2021,272
30.347949,48.275232,2021,273
31.678479,6.1981,2021,274
18.556615,55.870533,2021,275
32.554458,3.167599,2021,276
28.711104,21.453612,2021,277
18.687699,55.50587,2021,278
32.276945,3.98694,2021,279
35.124143,44.569342,2021,280
28.997968,48.159295,2021,281
34.006682,45.493998,2021,282
36.731134,43.281047,2021,283
29.509479,51.258755,2021,284
35.924157,43.78969,2021,285
28.682392,52.093208,2021,286
34.915747,37.946038,2021,287
24.795351,49.347801,2021,288
35.247923,44.429057,2021,289
29.265642,6.4916,2021,290
28.526219,9.122113,2021,291
